"wave","RI_leafmaterial","spA_Cab","spA_Car","spA_Atn","spA_Br","spA_Cw","spA_Cm","spA_Protein","spA_nonPro"
423,1.5022,0.070503,0.168439,0.0445356,0.5042,8.297e-05,29.93,0,34.9038
424,1.5019,0.0704727,0.168599,0.0442495,0.5032,8.4e-05,28.32,0,33.0263
425,1.5016,0.0705277,0.168474,0.0441159,0.5022,8.551e-05,26.79,0,31.242
426,1.5013,0.0708095,0.168142,0.0439576,0.5012,8.7e-05,25.35,0,29.5627
427,1.501,0.0713124,0.168,0.043874,0.5002,8.8e-05,24.02,0,28.0117
428,1.5008,0.0716223,0.167725,0.0438046,0.4992,8.9e-05,22.76,0,26.5423
429,1.5005,0.0719053,0.167413,0.0438581,0.4982,9.05e-05,21.5,0,25.0729
430,1.5002,0.0724491,0.167551,0.0438612,0.4972,9.2e-05,20.24,0,23.6035
431,1.5,0.0730907,0.167744,0.0439124,0.496,9.3e-05,19.01,0,22.1691
432,1.4997,0.0736521,0.167905,0.0439588,0.4948,9.4e-05,17.85,0,20.8164
433,1.4995,0.074047,0.167971,0.0440366,0.4936,9.55e-05,16.76,0,19.5452
434,1.4992,0.0743349,0.167937,0.0441105,0.4924,9.7e-05,15.75,0,18.3674
435,1.499,0.0745425,0.167973,0.0442029,0.4912,9.801e-05,14.81,0,17.2712
436,1.4988,0.0746911,0.168177,0.0442768,0.49,9.9e-05,13.92,0,16.2333
437,1.4986,0.0746534,0.168322,0.0443989,0.4888,0.0001005,13.12,0,15.3003
438,1.4984,0.0745703,0.168695,0.0445095,0.4876,0.000102,12.33,0,14.379
439,1.4982,0.0742853,0.169163,0.0446471,0.4864,0.0001031,11.61,0,13.5394
440,1.498,0.0737942,0.169569,0.0447865,0.4852,0.000104,10.96,0,12.7814
441,1.4977,0.072818,0.169678,0.0449193,0.484,0.000105,10.41,0,12.14
442,1.4974,0.0716223,0.169631,0.0450615,0.4829,0.000106,9.924,0,11.5732
443,1.4972,0.0704587,0.1699,0.0452269,0.4817,0.000107,9.41,0,10.9738
444,1.4969,0.0691047,0.169905,0.0454154,0.4805,0.000108,8.947,0,10.4338
445,1.4966,0.0675675,0.169815,0.0455895,0.4793,0.000109,8.508,0,9.92188
446,1.4964,0.0660264,0.16977,0.0457528,0.4781,0.00011,8.087,0,9.43092
447,1.4962,0.0644919,0.16973,0.045857,0.4769,0.000111,7.64,0,8.90964
448,1.4959,0.0626681,0.169345,0.045994,0.4757,0.000112,7.268,0,8.47582
449,1.4957,0.0607546,0.168568,0.0461954,0.4745,0.000113,6.939,0,8.09214
450,1.4955,0.0587747,0.167441,0.0464136,0.4733,0.000114,6.66,0,7.76678
451,1.4953,0.0567782,0.166023,0.0466797,0.472,0.000115,6.422,0,7.48922
452,1.4951,0.0547324,0.164464,0.046953,0.4708,0.000116,6.222,0,7.25599
453,1.4949,0.0528441,0.162899,0.0471624,0.4695,0.000117,6.01,0,7.00876
454,1.4947,0.0511254,0.161362,0.04736,0.4683,0.000118,5.782,0,6.74287
455,1.4945,0.0495729,0.15978,0.0475935,0.467,0.000119,5.573,0,6.49914
456,1.4943,0.048139,0.158224,0.0478138,0.4658,0.00012,5.37,0,6.2624
457,1.4942,0.0468009,0.156555,0.0480817,0.4645,0.000121,5.173,0,6.03266
458,1.494,0.0456455,0.154969,0.0483353,0.4633,0.000122,4.946,0,5.76794
459,1.4939,0.0446906,0.153299,0.0485953,0.462,0.000123,4.761,0,5.5522
460,1.4937,0.0438733,0.151672,0.0488393,0.4608,0.000124,4.575,0,5.33529
461,1.4935,0.0431621,0.149969,0.0491231,0.4597,0.000125,4.419,0,5.15336
462,1.4934,0.0426533,0.148319,0.0493705,0.4587,0.000126,4.259,0,4.96677
463,1.4932,0.0422062,0.146765,0.0496082,0.4577,0.000127,4.117,0,4.80117
464,1.4931,0.0417743,0.145076,0.0498409,0.4566,0.000128,4.006,0,4.67173
465,1.4929,0.0412972,0.143493,0.050136,0.4556,0.0001289,3.945,0,4.60059
466,1.4928,0.0409113,0.142004,0.0504203,0.4546,0.00013,3.853,0,4.4933
467,1.4927,0.0405705,0.14055,0.0507836,0.4535,0.0001315,3.784,0,4.41284
468,1.4925,0.0403017,0.139191,0.0511498,0.4525,0.000133,3.671,0,4.28106
469,1.4924,0.0400089,0.138023,0.0515566,0.4515,0.000134,3.554,0,4.14461
470,1.4923,0.0397273,0.137008,0.0519406,0.4504,0.000135,3.462,0,4.03732
471,1.4922,0.0395205,0.136145,0.0523872,0.4494,0.0001364,3.363,0,3.92187
472,1.492,0.039292,0.13548,0.0528197,0.4484,0.000138,3.282,0,3.82741
473,1.4919,0.0390352,0.134998,0.0534087,0.4473,0.0001396,3.184,0,3.71313
474,1.4917,0.0387726,0.134639,0.0539897,0.4463,0.000141,3.102,0,3.6175
475,1.4916,0.0385228,0.134366,0.0544621,0.4453,0.0001424,3.051,0,3.55802
476,1.4915,0.0382599,0.134169,0.0549398,0.4442,0.000144,2.983,0,3.47872
477,1.4914,0.0378812,0.133937,0.055543,0.4432,0.0001459,2.947,0,3.43674
478,1.4912,0.03751,0.133745,0.0561548,0.4422,0.000148,2.913,0,3.39709
479,1.4911,0.0371492,0.133557,0.0566378,0.4411,0.0001499,2.869,0,3.34578
480,1.491,0.0367757,0.133271,0.0571515,0.4401,0.000152,2.803,0,3.26881
481,1.4909,0.0363,0.132787,0.0576893,0.4388,0.0001544,2.777,0,3.23849
482,1.4907,0.0357606,0.132173,0.0582652,0.4375,0.000157,2.751,0,3.20817
483,1.4906,0.03521,0.131409,0.058847,0.4362,0.0001596,2.726,0,3.17901
484,1.4904,0.0345829,0.130422,0.0594778,0.435,0.000162,2.702,0,3.15103
485,1.4903,0.0339091,0.129222,0.0600537,0.4337,0.0001643,2.679,0,3.1242
486,1.4902,0.0331842,0.127818,0.0606698,0.4324,0.000167,2.656,0,3.09738
487,1.49,0.0323774,0.126314,0.061221,0.4311,0.0001704,2.634,0,3.07173
488,1.4899,0.0315189,0.124566,0.0618094,0.4298,0.000174,2.613,0,3.04724
489,1.4897,0.0305842,0.122692,0.0623585,0.4285,0.0001775,2.593,0,3.02391
490,1.4896,0.0296622,0.120655,0.0629224,0.4272,0.000181,2.573,0,3.00059
491,1.4895,0.0286992,0.118603,0.0634338,0.426,0.0001849,2.554,0,2.97843
492,1.4893,0.0276921,0.11652,0.0639703,0.4247,0.000189,2.536,0,2.95744
493,1.4892,0.0266404,0.11441,0.0644618,0.4234,0.0001934,2.519,0,2.93761
494,1.489,0.0255901,0.112274,0.0649644,0.4221,0.000198,2.502,0,2.91779
495,1.4889,0.0245165,0.110113,0.0654305,0.4208,0.0002031,2.486,0,2.89913
496,1.4887,0.0234283,0.10793,0.0659096,0.4195,0.000209,2.471,0,2.88164
497,1.4885,0.0223279,0.105726,0.0663776,0.4183,0.0002158,2.457,0,2.86531
498,1.4884,0.0212239,0.103502,0.0668519,0.417,0.000223,2.443,0,2.84898
499,1.4882,0.0201366,0.101261,0.0673086,0.4157,0.0002303,2.43,0,2.83382
500,1.488,0.0190485,0.0990044,0.0677709,0.4144,0.000238,2.417,0,2.81866
501,1.4878,0.0179798,0.0967335,0.0681326,0.4135,0.0002463,2.405,0,2.80467
502,1.4876,0.0169429,0.0944502,0.0684792,0.4127,0.000255,2.394,0,2.79184
503,1.4875,0.0159234,0.0921564,0.0688146,0.4118,0.000264,2.384,0,2.78018
504,1.4873,0.0149343,0.0898536,0.0691402,0.4109,0.000273,2.374,0,2.76852
505,1.4871,0.0139785,0.0875437,0.0693615,0.41,0.0002819,2.365,0,2.75802
506,1.4869,0.0130497,0.0852284,0.069563,0.4092,0.000291,2.356,0,2.74753
507,1.4867,0.0121542,0.0829094,0.069828,0.4083,0.0003004,2.348,0,2.7382
508,1.4865,0.0112959,0.0805884,0.0700735,0.4074,0.00031,2.341,0,2.73003
509,1.4863,0.01048,0.0782671,0.0702792,0.4065,0.0003194,2.334,0,2.72187
510,1.4861,0.00970081,0.0759473,0.0704719,0.4057,0.000329,2.328,0,2.71487
511,1.4859,0.00895396,0.0736308,0.0706789,0.4047,0.000339,2.323,0,2.70904
512,1.4856,0.0082461,0.0713191,0.0708719,0.4038,0.000349,2.318,0,2.70321
513,1.4854,0.00758,0.0690141,0.0710254,0.4028,0.0003588,2.314,0,2.69855
514,1.4851,0.00695743,0.0667175,0.0711652,0.4019,0.000368,2.31,0,2.69388
515,1.4849,0.00638669,0.064431,0.0712852,0.4009,0.0003767,2.307,0,2.69038
516,1.4846,0.00586805,0.0621564,0.0713896,0.4,0.000386,2.304,0,2.68688
517,1.4844,0.00540153,0.0598953,0.0714865,0.399,0.0003962,2.302,0,2.68455
518,1.4841,0.00499129,0.0576495,0.0715735,0.3981,0.000404,2.301,0,2.68339
519,1.4839,0.00463493,0.0554207,0.0716303,0.3971,0.0004069,2.3,0,2.68222
520,1.4836,0.00433379,0.0532106,0.0716821,0.3962,0.000409,2.3,0,2.68222
521,1.4833,0.00408503,0.0510211,0.0717393,0.3952,0.0004138,2.3,0,2.68222
522,1.483,0.00388739,0.0488537,0.0717754,0.3943,0.000416,2.3,0,2.68222
523,1.4828,0.00374206,0.0467102,0.0718152,0.3933,0.0004112,2.3,0,2.68222
524,1.4825,0.00365252,0.0445924,0.0718641,0.3924,0.000409,2.3,0,2.68222
525,1.4822,0.00361178,0.042502,0.0719587,0.3914,0.0004176,2.3,0,2.68222
526,1.4819,0.00361934,0.0404407,0.0720597,0.3905,0.000427,2.3,0,2.68222
527,1.4816,0.00367282,0.0384102,0.0721526,0.3895,0.0004268,2.3,0,2.68222
528,1.4813,0.00376967,0.0364122,0.0722403,0.3886,0.000423,2.3,0,2.68222
529,1.481,0.00390324,0.0344486,0.0722952,0.3876,0.0004237,2.3,0,2.68222
530,1.4807,0.00406899,0.0325209,0.0723492,0.3867,0.000429,2.3,0,2.68222
531,1.4804,0.00426366,0.030631,0.0724141,0.3846,0.0004371,2.3,0,2.68222
532,1.4801,0.00448428,0.0287806,0.0724758,0.3824,0.000445,2.3,0,2.68222
533,1.4797,0.00472995,0.0269713,0.0725103,0.3803,0.0004506,2.3,0,2.68222
534,1.4794,0.00499348,0.025205,0.0725285,0.3782,0.000456,2.3,0,2.68222
535,1.4791,0.00527276,0.0234833,0.0725289,0.376,0.0004631,2.3,0,2.68222
536,1.4788,0.00556455,0.0218079,0.0725061,0.3739,0.00047,2.3,0,2.68222
537,1.4784,0.00586623,0.0201807,0.0724327,0.3718,0.0004748,2.3,0,2.68222
538,1.4781,0.00617059,0.0186033,0.0723404,0.3696,0.00048,2.3,0,2.68222
539,1.4777,0.00647922,0.0170774,0.0722102,0.3675,0.0004879,2.3,0,2.68222
540,1.4774,0.0067864,0.0156048,0.0720633,0.3654,0.000495,2.3,0,2.68222
541,1.4771,0.00709,0.0141872,0.0718369,0.3639,0.0004983,2.3,0,2.68222
542,1.4767,0.007388,0.0128264,0.0716024,0.3625,0.000503,2.3,0,2.68222
543,1.4764,0.00767415,0.011524,0.0713427,0.3611,0.0005141,2.3,0,2.68222
544,1.476,0.00794833,0.0102818,0.0710671,0.3597,0.000527,2.3,0,2.68222
545,1.4757,0.00820829,0.00910146,0.0707065,0.3582,0.0005363,2.3,0,2.68222
546,1.4753,0.00845364,0.00798479,0.0703069,0.3568,0.000544,2.3,0,2.68222
547,1.475,0.00868499,0.00693348,0.0698401,0.3554,0.0005532,2.3,0,2.68222
548,1.4746,0.00890368,0.00594925,0.0693554,0.354,0.000564,2.3,0,2.68222
549,1.4743,0.0091119,0.00503384,0.0687563,0.3525,0.0005759,2.3,0,2.68222
550,1.4739,0.00930939,0.00418898,0.0681398,0.3511,0.000588,2.3,0,2.68222
551,1.4735,0.00950012,0.00341638,0.06744,0.35,0.0005998,2.3,0,2.68222
552,1.4732,0.00968213,0.00271778,0.0667326,0.3489,0.000611,2.3,0,2.68222
553,1.4728,0.00986391,0.0020949,0.0659041,0.3478,0.0006215,2.3,0,2.68222
554,1.4725,0.01004,0.00154947,0.0650612,0.3467,0.000631,2.3,0,2.68222
555,1.4721,0.0102144,0.00108322,0.0642103,0.3456,0.0006391,2.3,0,2.68222
556,1.4717,0.0103855,0.000697863,0.0633575,0.3445,0.000646,2.3,0,2.68222
557,1.4713,0.0105557,0.000395138,0.0624373,0.3434,0.000652,2.3,0,2.68222
558,1.4709,0.0107242,0.000176768,0.0615175,0.3423,0.000658,2.3,0,2.68222
559,1.4705,0.0108889,4.44797e-05,0.0605785,0.3412,0.0006647,2.3,0,2.68222
560,1.4701,0.011048,2.13163e-13,0.0596515,0.3401,0.000672,2.3,0,2.68222
561,1.4697,0.0112169,0,0.0586113,0.3383,0.0006793,2.3,0,2.68222
562,1.4693,0.0114015,0,0.057591,0.3366,0.000686,2.3,0,2.68222
563,1.4689,0.0116055,0,0.0565542,0.3348,0.000692,2.3,0,2.68222
564,1.4685,0.0118272,0,0.0555431,0.333,0.000699,2.3,0,2.68222
565,1.4681,0.0120748,0,0.0543786,0.3312,0.0007084,2.3,0,2.68222
566,1.4677,0.0123402,0,0.0532432,0.3294,0.000718,2.3,0,2.68222
567,1.4673,0.012628,0,0.052056,0.3276,0.0007257,2.3,0,2.68222
568,1.467,0.012933,0,0.0509,0.3258,0.000734,2.3,0,2.68222
569,1.4666,0.0132595,0,0.0496714,0.3241,0.0007455,2.3,0,2.68222
570,1.4662,0.0135979,0,0.0484808,0.3223,0.000759,2.3,0,2.68222
571,1.4658,0.0139469,0,0.0473085,0.3202,0.0007729,2.3,0,2.68222
572,1.4654,0.0143014,0,0.0461743,0.3182,0.000787,2.3,0,2.68222
573,1.4651,0.0146577,0,0.0450001,0.3162,0.000802,2.3,0,2.68222
574,1.4647,0.0150102,0,0.0438705,0.3141,0.000819,2.3,0,2.68222
575,1.4643,0.0153567,0,0.0427812,0.3121,0.0008386,2.3,0,2.68222
576,1.4639,0.0156935,0,0.0417338,0.31,0.000858,2.3,0,2.68222
577,1.4635,0.0160234,0,0.0406179,0.308,0.0008754,2.3,0,2.68222
578,1.4632,0.0163397,0,0.0395431,0.3059,0.000896,2.3,0,2.68222
579,1.4628,0.0166478,0,0.0384569,0.3039,0.0009238,2.3,0,2.68222
580,1.4624,0.0169452,0,0.037412,0.3019,0.000952,2.3,0,2.68222
581,1.462,0.0172407,0,0.0362003,0.2999,0.0009745,2.3,0,2.68222
582,1.4616,0.0175269,0,0.0350426,0.2979,0.001,2.3,0,2.68222
583,1.4613,0.0178005,0,0.0339189,0.2959,0.001037,2.3,0,2.68222
584,1.4609,0.0180658,0,0.0328458,0.294,0.001079,2.3,0,2.68222
585,1.4605,0.0183248,0,0.0317012,0.292,0.001119,2.3,0,2.68222
586,1.4602,0.0185679,0,0.0306065,0.29,0.001159,2.3,0,2.68222
587,1.4598,0.0188,0,0.0296161,0.2881,0.001204,2.3,0,2.68222
588,1.4595,0.0190186,0,0.0286652,0.2861,0.001253,2.3,0,2.68222
589,1.4591,0.0192278,0,0.0277151,0.2841,0.001304,2.3,0,2.68222
590,1.4588,0.0194191,0,0.0268029,0.2821,0.001356,2.3,0,2.68222
591,1.4585,0.0195991,0,0.0259512,0.2803,0.001408,2.3,0,2.68222
592,1.4582,0.0197663,0,0.0251335,0.2784,0.001459,2.3,0,2.68222
593,1.4579,0.0199222,0,0.0242929,0.2766,0.00151,2.3,0,2.68222
594,1.4576,0.0200656,0,0.0234865,0.2747,0.001567,2.3,0,2.68222
595,1.4573,0.0201988,0,0.0226866,0.2728,0.001635,2.3,0,2.68222
596,1.457,0.0203266,0,0.0219176,0.271,0.0017,2.3,0,2.68222
597,1.4567,0.0204577,0,0.0210849,0.2691,0.001758,2.3,0,2.68222
598,1.4565,0.0205849,0,0.0202843,0.2673,0.00186,2.3,0,2.68222
599,1.4562,0.0207154,0,0.0194972,0.2654,0.002042,2.3,0,2.68222
600,1.4559,0.020854,0,0.0187401,0.2636,0.002224,2.3,0,2.68222
601,1.4556,0.0210068,0,0.017977,0.2618,0.002323,2.3,0,2.68222
602,1.4553,0.0211716,0,0.0172421,0.2601,0.002366,2.3,0,2.68222
603,1.4551,0.0213477,0,0.0166044,0.2584,0.0024,2.3,0,2.68222
604,1.4548,0.0215458,0,0.015987,0.2566,0.002448,2.3,0,2.68222
605,1.4545,0.0217636,0,0.0154096,0.2549,0.002519,2.3,0,2.68222
606,1.4543,0.0220033,0,0.0148447,0.2532,0.002587,2.3,0,2.68222
607,1.454,0.022268,0,0.0143173,0.2515,0.002629,2.3,0,2.68222
608,1.4538,0.0225525,0,0.0138003,0.2497,0.002653,2.3,0,2.68222
609,1.4535,0.0228594,0,0.0132952,0.248,0.002674,2.3,0,2.68222
610,1.4533,0.0231769,0,0.0128011,0.2463,0.002691,2.3,0,2.68222
611,1.4531,0.0235022,0,0.0123363,0.2447,0.002704,2.3,0,2.68222
612,1.4528,0.0238419,0,0.0118837,0.2431,0.002715,2.3,0,2.68222
613,1.4526,0.0241985,0,0.0113936,0.2414,0.002727,2.3,0,2.68222
614,1.4523,0.024561,0,0.0109184,0.2398,0.00274,2.3,0,2.68222
615,1.4521,0.024917,0,0.0104635,0.2382,0.002753,2.3,0,2.68222
616,1.4519,0.0252691,0,0.0100219,0.2366,0.002764,2.3,0,2.68222
617,1.4517,0.0256167,0,0.00958084,0.235,0.002775,2.3,0,2.68222
618,1.4514,0.0259503,0,0.00915534,0.2334,0.002785,2.3,0,2.68222
619,1.4512,0.0262545,0,0.00877663,0.2318,0.002797,2.3,0,2.68222
620,1.451,0.0265303,0,0.00841103,0.2302,0.00281,2.3,0,2.68222
621,1.4508,0.0267861,0,0.00805235,0.2288,0.002824,2.3,0,2.68222
622,1.4506,0.0270098,0,0.00770727,0.2273,0.002839,2.3,0,2.68222
623,1.4504,0.0272066,0,0.00737548,0.2258,0.002854,2.3,0,2.68222
624,1.4502,0.0273792,0,0.00705665,0.2244,0.002868,2.3,0,2.68222
625,1.45,0.0275228,0,0.00675045,0.2229,0.002881,2.3,0,2.68222
626,1.4498,0.0276449,0,0.00645657,0.2215,0.002893,2.3,0,2.68222
627,1.4497,0.0277392,0,0.00617467,0.22,0.002907,2.3,0,2.68222
628,1.4495,0.0278211,0,0.00590444,0.2185,0.002922,2.3,0,2.68222
629,1.4494,0.0278951,0,0.00564554,0.2171,0.002938,2.3,0,2.68222
630,1.4492,0.0279776,0,0.00539765,0.2156,0.002955,2.3,0,2.68222
631,1.4491,0.0280723,0,0.00516045,0.2143,0.002972,2.3,0,2.68222
632,1.4489,0.0281944,0,0.00493362,0.2129,0.002988,2.3,0,2.68222
633,1.4488,0.0283603,0,0.00471682,0.2115,0.003,2.3,0,2.68222
634,1.4486,0.0285729,0,0.00450973,0.2102,0.003011,2.3,0,2.68222
635,1.4485,0.028846,0,0.00431204,0.2088,0.003023,2.3,0,2.68222
636,1.4484,0.0291814,0,0.00412341,0.2074,0.003038,2.3,0,2.68222
637,1.4483,0.0295993,0,0.00394352,0.2061,0.003057,2.3,0,2.68222
638,1.4482,0.0300771,0,0.00377204,0.2047,0.003076,2.3,0,2.68222
639,1.4481,0.0306343,0,0.00360865,0.2033,0.003094,2.3,0,2.68222
640,1.448,0.0312475,0,0.00345303,0.202,0.003111,2.3,0,2.68222
641,1.4479,0.0319268,0,0.00330485,0.2007,0.003127,2.3,0,2.68222
642,1.4478,0.0326585,0,0.00316378,0.1994,0.003144,2.3,0,2.68222
643,1.4478,0.0334412,0,0.00302951,0.1981,0.003162,2.3,0,2.68222
644,1.4477,0.0342546,0,0.0029017,0.1968,0.003181,2.3,0,2.68222
645,1.4476,0.0351007,0,0.00278004,0.1955,0.003202,2.3,0,2.68222
646,1.4475,0.0359489,0,0.00266419,0.1942,0.003223,2.3,0,2.68222
647,1.4475,0.0367793,0,0.00255383,0.1929,0.003242,2.3,0,2.68222
648,1.4474,0.037588,0,0.00244865,0.1916,0.003263,2.3,0,2.68222
649,1.4474,0.0383232,0,0.0023483,0.1903,0.003289,2.3,0,2.68222
650,1.4473,0.0390136,0,0.00225247,0.189,0.003315,2.3,0,2.68222
651,1.4473,0.0396312,0,0.00216084,0.1878,0.003338,2.3,0,2.68222
652,1.4472,0.0402217,0,0.00207308,0.1865,0.003362,2.3,0,2.68222
653,1.4472,0.0408042,0,0.00198886,0.1853,0.00339,2.3,0,2.68222
654,1.4471,0.0414183,0,0.00190786,0.1841,0.003423,2.3,0,2.68222
655,1.4471,0.0421067,0,0.00182975,0.1829,0.003461,2.3,0,2.68222
656,1.447,0.04288,0,0.00175422,0.1816,0.003508,2.3,0,2.68222
657,1.447,0.0438083,0,0.00168093,0.1804,0.003567,2.3,0,2.68222
658,1.4469,0.0448612,0,0.00160956,0.1792,0.003636,2.3,0,2.68222
659,1.4469,0.0461069,0,0.00153979,0.178,0.003712,2.3,0,2.68222
660,1.4468,0.0474949,0,0.00147128,0.1768,0.003791,2.3,0,2.68222
661,1.4468,0.0491126,0,0.00140373,0.1755,0.003866,2.3,0,2.68222
662,1.4468,0.0508487,0,0.0013368,0.1742,0.003931,2.3,0,2.68222
663,1.4467,0.0527301,0,0.00127016,0.1729,0.003981,2.3,0,2.68222
664,1.4467,0.0546996,0,0.0012035,0.1717,0.004019,2.3,0,2.68222
665,1.4467,0.0567611,0,0.00113648,0.1704,0.004049,2.3,0,2.68222
666,1.4466,0.0588679,0,0.00106879,0.1691,0.004072,2.3,0,2.68222
667,1.4466,0.0608295,0,0.0010001,0.1679,0.004087,2.3,0,2.68222
668,1.4465,0.06275,0,0.000930077,0.1666,0.004098,2.3,0,2.68222
669,1.4465,0.0644721,0,0.000858406,0.1653,0.004109,2.3,0,2.68222
670,1.4464,0.0661121,0,0.000784759,0.1641,0.004122,2.3,0,2.68222
671,1.4464,0.0674706,0,0.000710017,0.1627,0.004137,2.3,0,2.68222
672,1.4463,0.0686749,0,0.000638835,0.1613,0.00415,2.3,0,2.68222
673,1.4463,0.0696352,0,0.000571243,0.16,0.00416,2.3,0,2.68222
674,1.4462,0.0704652,0,0.000507271,0.1586,0.004173,2.3,0,2.68222
675,1.4462,0.0709948,0,0.000446948,0.1572,0.004196,2.3,0,2.68222
676,1.4461,0.0714015,0,0.000390303,0.1559,0.004223,2.3,0,2.68222
677,1.446,0.0713582,0,0.000337366,0.1545,0.004248,2.3,0,2.68222
678,1.446,0.0711272,0,0.000288166,0.1532,0.00427,2.3,0,2.68222
679,1.4459,0.0701854,0,0.000242734,0.1518,0.004293,2.3,0,2.68222
680,1.4458,0.0689206,0,0.000201097,0.1504,0.004318,2.3,0,2.68222
681,1.4457,0.0665762,0,0.000163286,0.1491,0.004347,2.3,0,2.68222
682,1.4457,0.0639476,0,0.00012933,0.1478,0.004381,2.3,0,2.68222
683,1.4456,0.0604821,0,9.92589e-05,0.1464,0.004418,2.3,0,2.68222
684,1.4456,0.0568583,0,7.31016e-05,0.1451,0.004458,2.3,0,2.68222
685,1.4455,0.0527473,0,5.08877e-05,0.1437,0.0045,2.3,0,2.68222
686,1.4454,0.0487258,0,3.26466e-05,0.1424,0.004545,2.3,0,2.68222
687,1.4453,0.044707,0,1.84079e-05,0.1411,0.004594,2.3,0,2.68222
688,1.4453,0.0408585,0,8.20091e-06,0.1397,0.004646,2.3,0,2.68222
689,1.4452,0.0371411,0,2.05514e-06,0.1384,0.004701,2.3,0,2.68222
690,1.4451,0.033671,0,0,0.137,0.00476,2.3,0,2.68222
691,1.445,0.0304587,0,0,0.1358,0.004827,2.3,0,2.68222
692,1.445,0.0275021,0,0,0.1345,0.004903,2.3,0,2.68222
693,1.4449,0.0247868,0,0,0.1333,0.004986,2.3,0,2.68222
694,1.4449,0.0223303,0,0,0.132,0.005071,2.3,0,2.68222
695,1.4448,0.0201436,0,0,0.1308,0.005154,2.3,0,2.68222
696,1.4447,0.0181733,0,0,0.1295,0.005244,2.3,0,2.68222
697,1.4446,0.0164205,0,0,0.1283,0.005351,2.3,0,2.68222
698,1.4446,0.0148521,0,0,0.127,0.00547,2.3,0,2.68222
699,1.4445,0.0134714,0,0,0.1258,0.005594,2.3,0,2.68222
700,1.4444,0.0122406,0,0,0.1245,0.005722,2.3,0,2.68222
701,1.4443,0.0111549,0,0,0.1234,0.005855,2.3,0,2.68222
702,1.4442,0.0101925,0,0,0.1223,0.005995,2.3,0,2.68222
703,1.4441,0.00934301,0,0,0.1212,0.006146,2.3,0,2.68222
704,1.444,0.00858695,0,0,0.12,0.006303,2.3,0,2.68222
705,1.4439,0.00791505,0,0,0.1189,0.006463,2.3,0,2.68222
706,1.4438,0.00731259,0,0,0.1178,0.006628,2.3,0,2.68222
707,1.4437,0.00677109,0,0,0.1167,0.006804,2.3,0,2.68222
708,1.4435,0.0062803,0,0,0.1156,0.006993,2.3,0,2.68222
709,1.4434,0.00583221,0,0,0.1144,0.007197,2.3,0,2.68222
710,1.4433,0.00542144,0,0,0.1133,0.007415,2.3,0,2.68222
711,1.4431,0.0050449,0,0,0.1122,0.007647,2.3,0,2.68222
712,1.443,0.00469652,0,0,0.1111,0.007893,2.3,0,2.68222
713,1.4428,0.00437346,0,0,0.11,0.008157,2.3,0,2.68222
714,1.4427,0.00407204,0,0,0.1089,0.008445,2.3,0,2.68222
715,1.4425,0.00379222,0,0,0.1078,0.008763,2.3,0,2.68222
716,1.4423,0.0035302,0,0,0.1067,0.009109,2.3,0,2.68222
717,1.4422,0.00328562,0,0,0.1056,0.009479,2.3,0,2.68222
718,1.442,0.00305749,0,0,0.1046,0.009871,2.3,0,2.68222
